Business characteristics,Weighted Average,Year
"Administrative and support, waste management and remediation services [56]",69.37,2025
"Arts, entertainment and recreation [71]",61.89,2025
Construction [23],67.59,2025
Finance and insurance [52],60.1,2025
Health care and social assistance [62],65.35,2025
Information and cultural industries [51],62.47999999999999,2025
Manufacturing [31-33],64.87,2025
"Mining, quarrying, and oil and gas extraction [21]",67.83,2025
"Professional, scientific and technical services [54]",62.18,2025
Real estate and rental and leasing [53],44.05,2025
"Administrative and support, waste management and remediation services [56]",60.26,2024
"Arts, entertainment and recreation [71]",66.41,2024
Construction [23],67.24,2024
Finance and insurance [52],65.32,2024
Health care and social assistance [62],68.88,2024
Information and cultural industries [51],71.53999999999999,2024
Manufacturing [31-33],69.61999999999999,2024
"Mining, quarrying, and oil and gas extraction [21]",66.72,2024
"Professional, scientific and technical services [54]",65.05,2024
Real estate and rental and leasing [53],64.25999999999999,2024